Ucoluk, Gokturk ==> 2.56494208494e-05
Borghesi, Luigi ==> 1.48571910747e-05
Chiocchetti, Elena ==> 2.60034564379e-05
H&uuml;lscher, Olaf ==> 2.61006891641e-05
Willners, Caroline ==> 2.49652745119e-05
Yamaoka, Takayuki ==> 2.38890929477e-05
&Ccedil;obanoglu, Onur ==> 1.41704725161e-05
Callmeier, Ulrich ==> 6.05073219201e-05
Tabirao, Emerald ==> 4.31491720527e-05
Oliveira, Paulo C F de ==> 2.27791577607e-05
Sugimoto, Masakatsu ==> 1.69550648512e-05
Gajulapalli, Kailash ==> 3.43412553352e-05
Wenliang, Chen ==> 3.33667334976e-05
Xue, Song ==> 2.47912916192e-05
Jaruskulchai, Chuleerat ==> 1.98824260136e-05
Bouamor, Houda ==> 8.292318689e-05
Kumano, Akira ==> 6.05941833013e-05
Chao, Chih-Yu ==> 1.49990509189e-05
Kerminen, Antti ==> 2.30966958453e-05
Sourjikova, Eva ==> 3.61168273179e-05
Krkoska, Michael ==> 1.62153351712e-05
Qian, Longhua ==> 0.000137147107771
Arguello, Jaime ==> 4.34870820253e-05
Cordova, Aaron ==> 3.18172954716e-05
Bandyopadhyay, Sivaji ==> 0.000338075495914
Chen, Chun ==> 3.88102551647e-05
Wolinski, Francis ==> 5.7024971657e-05
Rudnicky, Alexander I. ==> 0.000453585063015
Hayes, Bruce ==> 3.28159128902e-05
Sun, Guihua ==> 5.90542333956e-05
He, Tingting ==> 1.66909067656e-05
Ichii, Koji ==> 2.41977440737e-05
Svensson, Hans ==> 2.70945382586e-05
Decary, Michel ==> 1.78462594938e-05
Kaji, Yuichi ==> 1.70738833968e-05
Mohanty, Rajat ==> 2.05824770093e-05
Dave, M. ==> 1.4333305369e-05
Hairetakis, Nikolaos ==> 1.57021072057e-05
Spooren, Wilbert ==> 2.19979191735e-05
Hana, Jirka ==> 7.00388089749e-05
Drummey, Kevin W. ==> 6.04769508965e-05
Huang, Eng-Fong ==> 4.41963049022e-05
Huh, Hyun-Gue ==> 4.52776825944e-05
Kim, Joungbum ==> 2.78228807189e-05
Breidt, Elisabeth ==> 4.4062583595e-05
Daum, Michael ==> 4.74926575126e-05
Aldag, Bjorn ==> 2.15589126058e-05
Damljanovic, Danica ==> 1.99701104006e-05
Jahr, Michael ==> 8.49430210548e-05
Hurault-Plantet, Martine ==> 2.29728606921e-05
Aranzabe, Maxux J. ==> 3.265611465e-05
Mahasarakham, Puwarat Pavaputanont Na ==> 1.38753500912e-05
Druck, Gregory ==> 8.64466758253e-05
Park, Kyung-Mi ==> 5.33112895033e-05
Mondal, Tapabrata ==> 4.91059675049e-05
Graft, David ==> 1.73097240792e-05
Divay, Michel ==> 3.51280583188e-05
Cao, Hailong ==> 8.66894529186e-05
Pomik&aacute;lek, Jan ==> 1.67032579396e-05
Hahn, Sangyun ==> 2.995721619e-05
Witte, Ren&eacute; ==> 2.65764221034e-05
Bengtson, Eric ==> 7.39740260808e-05
Michaud, Lisa N. ==> 3.26085336129e-05
Zhang, Yihao ==> 1.59254354553e-05
Tovar, Mireya ==> 1.59213504112e-05
Faa&szlig;, Gertrud ==> 3.49682367188e-05
Deyne, Simon De ==> 1.76782147166e-05
Regelson, Moira ==> 3.12093467852e-05
Nagai, Takahiro ==> 1.80202911152e-05
DeRose, Steven J. ==> 0.000137405129833
Baroni, Paola ==> 1.58051488532e-05
Bisson, Gilles ==> 2.23256657693e-05
Li, Guofu ==> 4.48639840257e-05
Wang, Chi-Shing ==> 5.7356091675e-05
Wong, Hongsing ==> 5.53265867588e-05
Favre, Benoit ==> 7.63424723242e-05
Dawes, Martin ==> 2.45861265965e-05
Xinzhi, Chang ==> 3.33667334976e-05
Bolioli, Andrea ==> 3.17347483548e-05
Mart&iacute;, M. Ant&ograve;nia ==> 0.000244710340764
Sudre, Karen ==> 1.90659492742e-05
Greiff, Warren R. ==> 2.0714407457e-05
Wagstaff, Kiri ==> 0.000103823656093
Durrell, Martin ==> 2.54707705872e-05
Kweon, Cheoljung ==> 5.62885284387e-05
Kaufmann, Tobias ==> 1.81236458008e-05
Carenini, Giuseppe ==> 0.000330792056729
Iria, Jos&eacute; ==> 3.98922917225e-05
Su, Ying-Shan ==> 8.69631135932e-05
Amoia, Marilisa ==> 4.19567927202e-05
Van Vark, R. J. ==> 1.47136975203e-05
Hung, K. Y. ==> 1.94311884069e-05
Park, HyukRo ==> 2.27117201732e-05
Sirai, Hidetosi ==> 2.77237676005e-05
Ding, Zhuoye ==> 2.23462663994e-05
De Boni, Marco ==> 4.30557809569e-05
Carlson, Greg ==> 1.52992697203e-05
Farber, Benjamin ==> 2.22985348455e-05
Ures, Lubos ==> 5.12377900172e-05
Zourari, Maria ==> 1.46154641041e-05
Im, Seohyun ==> 1.82013826897e-05
Bretan, Ivan ==> 7.52768026652e-05
Morawietz, Frank ==> 2.63096602241e-05
Mazzei, Alessandro ==> 7.3543718738e-05
Lin, Wen-Cheng ==> 2.23416068803e-05
Smith, Cameron ==> 1.47969923666e-05
Akkaya, Cem ==> 0.000139761907609
Qi, Guojun ==> 2.38085034843e-05
Healey, Patrick G. T. ==> 4.99420614048e-05
Santamar&iacute;a, Jes&uacute;s ==> 2.43971779286e-05
Nezamfar, Hooman ==> 2.02317133811e-05
Jonsson, Anna ==> 2.04701398156e-05
Olsson, J. Scott ==> 1.55748599767e-05
Bates, Madeleine ==> 0.000405003893234
Taylor, Paul ==> 0.000146070591562
Sumida, Asuka ==> 6.42419832012e-05
Ahmed, Tafseer ==> 1.83971723342e-05
Felger, Niko ==> 1.50825945387e-05
Rottmann, Kay ==> 5.42197286834e-05
Qiu, Guang ==> 3.57915083926e-05
Ringger, Eric K. ==> 0.000335691868369
Choi, Misook ==> 9.48124930431e-05
Huang, Degen ==> 0.000101746975477
Katz, Boris ==> 0.0001328035915
Beigman, Eyal ==> 0.000123928245016
Suzuki, Jun ==> 0.000399267059638
Melnick, Robin ==> 2.38086154009e-05
Gerstl, Peter ==> 1.84146170714e-05
Bratus, Sergey ==> 4.04086937339e-05
Turgut, Zehra ==> 3.40093131307e-05
Costa Florencio, Christophe ==> 7.11870110522e-05
Hof, Alexander ==> 1.67513761396e-05
Poel, Mannes ==> 1.49808893411e-05
Gates, Barbara ==> 6.51234564441e-05
Purwarianti, Ayu ==> 1.74562749176e-05
Huck, Matthias ==> 0.000125123654708
Watkinson, Stephen ==> 4.77065423717e-05
Li, Yaoyong ==> 3.62437429676e-05
Jing, Hongyan ==> 0.000817402087783
Miller, L. G. ==> 4.09953052069e-05
Lally, Adam ==> 1.57085179279e-05
Chan, Terence Y. W. ==> 2.19026846582e-05
Sukvari, Thana ==> 1.75872050656e-05
Tsovaltzi, Dimitra ==> 2.82757297898e-05
Fossati, Davide ==> 5.71090776219e-05
Waltz, David L. ==> 7.35236921402e-05
Maamouri, Mohamed ==> 9.15386240387e-05
Okabe, Masayuki ==> 1.9485473457e-05
Oostdijk, Nelleke ==> 2.05082319257e-05
Lohmann, Steffen ==> 2.75208331969e-05
Silverman, Kim E. A. ==> 1.98972124004e-05
Comelles, Elisabet ==> 2.67682929039e-05
Stumberger, Douglas E. ==> 4.96422506121e-05
Claveau, Vincent ==> 4.86612027925e-05
Gao, Yan ==> 2.66444233064e-05
Hofmann, Katja ==> 4.93365413228e-05
de Lucena, Diego Jesus ==> 1.53894817879e-05
Lee, Sungjin ==> 4.26449840016e-05
Badler, Norman ==> 2.15560505471e-05
Miyazaki, Noboru ==> 6.1507069856e-05
Liao, Xiantao ==> 2.90965246374e-05
Gaston, Jeremy ==> 2.5421723822e-05
Nishizawa, Shinichiro ==> 2.036601457e-05
Haggerty, James ==> 5.17319303093e-05
Kim, Jae-Ho ==> 4.53263560379e-05
Gupta, Piklu ==> 2.51260589516e-05
Forsyth, David A. ==> 3.56827930535e-05
Cho, Han-Cheol ==> 6.87028577059e-05
Gul-Rajani, Greg ==> 3.40319275272e-05
Dorr, Bonnie Jean ==> 0.00107337177887
Ohkuma, Tomoko ==> 7.07315685595e-05
Al-Fares, Waleed ==> 3.65345136335e-05
Masaki, Noguchi ==> 2.21973463581e-05
Netter, Klaus ==> 0.000188421008069
Wintner, Shuly ==> 0.000269561595403
Dalmas, Tiphaine ==> 1.45108161714e-05
Dahlqvist, Bengt ==> 1.64203158789e-05
Stein, Gees C. ==> 3.07574203419e-05
Horvitz, Eric ==> 0.00010651512675
Lynam, T. R. ==> 1.83846758296e-05
Huang, Jin-Xia ==> 8.9615188477e-05
Wang, Baoxun ==> 3.36003853167e-05
Goweder, Abduelbaset ==> 1.90977927537e-05
Copestake, Ann ==> 0.000510121340333
Andr&eacute;s-Ferrer, Jes&uacute;s ==> 5.49386063502e-05
Kawai, Atsuo ==> 0.000109309551068
Hasegawa, Yuji ==> 4.60175780892e-05
Garigliano, Roberto ==> 5.4407692508e-05
Liu, Key-Long ==> 4.84515097509e-05
Chow, Ka-Po ==> 1.47061464657e-05
Morimoto, Yasutsugu ==> 0.000103878375733
Yablonsky, Serge A. ==> 2.27958584803e-05
Kalman, Laszlo ==> 1.99185225664e-05
Weerasinghe, Ruvan ==> 1.54317934934e-05
Hewlett, Daniel ==> 3.15734592021e-05
Hung, Hsieh-Chuan ==> 1.42892486746e-05
Sadat, Fatiha ==> 0.000193930532424
Wightman, Colin ==> 7.31638714148e-05
Wu, Xing ==> 2.12896796296e-05
Manning, Christopher D. ==> 0.00397357140637
Ekbal, Asif ==> 0.000185285661613
Goldlust, Eric ==> 6.46298706969e-05
Hearst, Marti A. ==> 0.00169245710405
Maletti, Andreas ==> 9.68599107205e-05
He, Yulan ==> 9.21820625629e-05
Yamaji, Takahiro ==> 1.91385831166e-05
Areces, Carlos ==> 5.4492857994e-05
Talbot, David ==> 0.000261230693947
Kuhn, Michael ==> 2.14320683219e-05
Sun, Ying ==> 1.39989939467e-05
Shimizu, Nobuyuki ==> 0.000151475730219
Kudo, Taku ==> 0.000798050542213
Gibb, Darl ==> 3.55041690426e-05
McNaught, John ==> 0.000139697210897
de Mori, Renato ==> 4.08309401829e-05
Clark, Peter ==> 7.41654530133e-05
Ori, Manabu ==> 3.19487212078e-05
Oonishi, Tasuku ==> 1.71686188959e-05
Daly, Nancy ==> 6.04926099258e-05
Ural, Ahmet Engin ==> 3.13583887e-05
Hitzeman, Janet ==> 0.00024578911782
Pack, Daniel ==> 1.37973464088e-05
Str&ouml;mb&auml;ck, Lena ==> 4.66095685586e-05
Belenko, Dmitriy ==> 7.80432376846e-05
Touset, Pascal ==> 2.49679685464e-05
Platt, John C. ==> 4.7761311254e-05
Gyamfi, Yaw ==> 3.47348204041e-05
Yannakoudakis, Helen ==> 2.2273348834e-05
Pustejovsky, James ==> 0.00112440687275
Goodman, Bradley A. ==> 5.73495926877e-05
English, Michael ==> 2.03957971792e-05
Dakka, Wisam ==> 3.72278202488e-05
Blaser, Brigitte ==> 2.98207765863e-05
Ali, Mohammad Naveed ==> 2.21492371182e-05
Prince, Violaine ==> 3.02038008389e-05
Mukerjee, Amitabha ==> 4.28271676182e-05
Baker, Kenneth ==> 2.14404474733e-05
Bruck, Tim vor der ==> 1.45076541775e-05
Domico, Kelly ==> 4.32580354449e-05
Batista, Fernando ==> 2.34030057225e-05
Ksiezyk, Tomasz ==> 4.96318866708e-05
Sato, Shun ==> 2.94030897664e-05
Zhao, Shubin ==> 0.000117503399827
Huang, Shang-Ming ==> 2.53149846023e-05
Schubert, Lenhart K. ==> 0.000295528945323
Soong, Frank K. ==> 5.87873995894e-05
Paris, C&eacute;cile L. ==> 0.000454361783241
Cook, Malcolm E. ==> 2.07461131388e-05
Plate, Tony ==> 4.30399153782e-05
Kogan, Shimon ==> 3.48764066312e-05
Katagiri, Yasuhiro ==> 2.19664685221e-05
Malaka, Rainer ==> 5.99492147399e-05
Wang, Jinghua ==> 1.77701128601e-05
Zhang, Jiayue ==> 2.17109787234e-05
Marcheggiani, Diego ==> 2.2171742497e-05
Kocsor, Andras ==> 4.0172431849e-05
Davidson, James ==> 4.11242039411e-05
Boonkwan, Prachya ==> 2.81340417027e-05
Kong, Fang ==> 0.000181973190017
Van Asch, Vincent ==> 8.17794615033e-05
McDowell, Joyce ==> 6.62573157903e-05
Gooi, Chung Heong ==> 6.2818984845e-05
Kim, Youngjun ==> 2.4165356913e-05
Schneider, Nathan ==> 7.63514834648e-05
Gros, Cecile ==> 3.40168885213e-05
Rousseau, Daniel ==> 1.68459940562e-05
Bouma, Gosse ==> 0.00026363472883
Liu, Mary Xiaoyong ==> 2.43098184089e-05
Zhao, Lin ==> 2.67768545445e-05
Bergmann, Kirsten ==> 1.92897251868e-05
Panaget, Franck ==> 2.33401536789e-05
Strunk, Jan ==> 5.20020989282e-05
Wiemer-Hastings, Katja ==> 1.37973464088e-05
Yousfi-Monod, Mehdi ==> 1.97204304285e-05
Li, Fuxin ==> 1.72798705153e-05
Jur&#x10D;&iacute;&#x10D;ek, Filip ==> 4.18011784004e-05
Shen, Dan ==> 0.000214621720652
Baschung, Karine ==> 3.30080634107e-05
Lu, Lie ==> 2.55010146733e-05
Bolc, Leonard ==> 3.66727361598e-05
Cavaglia, Gabriela ==> 4.15625625586e-05
Kearns, Michael S. ==> 7.40328714518e-05
Li, Zhifei ==> 0.000404275176003
Li, Haizhou ==> 0.00113462325188
Abrash, Victor ==> 2.60624599719e-05
Edelman, Shimon ==> 9.65258463573e-05
Charfuelan, Marcela ==> 1.45252638767e-05
Garcia-Serrano, Ana ==> 1.54122624119e-05
Wang, Lei ==> 4.55540514314e-05
Garc&iacute;a-Varea, Ismael ==> 9.96423961865e-05
Nutter, J. Terry ==> 5.50790999112e-05
Cinkov&aacute;, Silvie ==> 2.14720705681e-05
Abdelali, Ahmed ==> 5.05588667594e-05
Wang, Ming-Wei ==> 3.729993367e-05
Rouault, Jacques ==> 0.000120736332207
Langley, Pat ==> 1.43196349222e-05
Yang, Hui ==> 8.19783808518e-05
Hyde, Clinton ==> 4.54055134512e-05
Potet, Marion ==> 4.52063710099e-05
Higuchi, Shinsuke ==> 1.85094079291e-05
Morita, Mizuki ==> 2.5241475407e-05
Silveira, Sara ==> 3.98647859794e-05
Boggess, Lois ==> 4.80493789463e-05
Rosemblat, Graciela ==> 4.70219533392e-05
Burfoot, Clint ==> 4.88757525064e-05
Soderland, Stephen ==> 0.000360211738738
Ishizaki, Shun ==> 1.97475795415e-05
Sim, Khe Chai ==> 4.91999118953e-05
Schulte Im Walde, Sabine ==> 0.000350220464255
Luke, Kang-Kwong ==> 2.93720120903e-05
Genzel, Dmitriy ==> 0.000121247226571
Zhao, Xujian ==> 3.6488272478e-05
Lopez, Beatriz ==> 2.71095440768e-05
Badr, Ibrahim ==> 5.55810771311e-05
Sundararajan, Arun ==> 2.99826258204e-05
Bengio, Samy ==> 3.29572106392e-05
Fought, Bill ==> 1.3854182544e-05
Botvinick, Matthew ==> 1.67440262863e-05
Mastroianni, Michael ==> 1.91245690485e-05
Li, Boyuan ==> 3.65829217575e-05
Bailey, Stacey ==> 5.68286068776e-05
Ni, Yizhao ==> 1.77213710698e-05
Porcelijn, Tijn ==> 1.85113752662e-05
Liu, Bing ==> 0.000267439535724
Artzi, Yoav ==> 5.47264166736e-05
Galley, Michel ==> 0.00101873954022
Phan, Xuan-Hieu ==> 6.27458253235e-05
Li, Yongqiang ==> 7.42416698065e-05
Flycht-Eriksson, Annika ==> 3.53133512819e-05
Newbold, Neil ==> 2.04935443603e-05
Herbst, Evan ==> 0.000603501267139
Li, Lishuang ==> 4.50128385605e-05
Virpioja, Sami ==> 0.000148994625877
Starr, Kathy ==> 2.70574542772e-05
Grigorieva, Svetlana ==> 1.73005629131e-05
Cassano, Giulia ==> 1.61805639925e-05
Pino, Juan ==> 8.16011707925e-05
Ringgaard, Michael ==> 0.000163103030878
Macherey, Wolfgang ==> 0.000273159500876
Fletcher, Janet ==> 1.47275324358e-05
Eyraud, Remi ==> 2.18440412591e-05
Brandyberry, David ==> 3.19886716707e-05
Guo, Sheng ==> 1.68571556915e-05
Schlesinger, Pavel ==> 5.43161206855e-05
Koirala, Cesar ==> 1.58727408951e-05
Szymanski, Terrence ==> 2.89314164708e-05
Corston-Oliver, Simon H. ==> 0.000214642534619
Schubert, Klaus ==> 1.49130188615e-05
Reichart, Roi ==> 0.000596513874205
Hirsh Litenatsky, Susan ==> 4.14596675486e-05
Aldaz Salmon, Javier A. ==> 1.84639880774e-05
Riester, Arndt ==> 2.87628961121e-05
Tran, Giang Binh ==> 2.03883698139e-05
Aue, Anthony ==> 9.08616936766e-05
Freiling, Michael J. ==> 4.12220869523e-05
Evers, Mark ==> 1.47716824875e-05
Davis, Chris ==> 2.49145641339e-05
Demir&scedil;ahin, I&scedil;in ==> 1.56852298261e-05
Corlett, Eric ==> 1.98834659213e-05
Frank, Ian ==> 1.85362854556e-05
Gotsoulia, Voula ==> 3.10573637927e-05
Pearl, Lisa ==> 3.59452440472e-05
Theune, Mari&euml;t ==> 0.000115475635103
Lafferty, John D. ==> 0.000688716609436
Lee, Chong Min ==> 0.000142004449078
Das, Sujatha ==> 2.59101794288e-05
de Paiva Alves, Eduardo ==> 3.560097236e-05
Garc&iacute;a-Narbona, David ==> 1.98938702814e-05
Stubbs, Amber ==> 4.68099793494e-05
Betteridge, Justin ==> 5.06156550941e-05
Pogodalla, Sylvain ==> 1.93257764149e-05
Chen, Xiaohe ==> 2.52790287247e-05
Aizono, Toshiko ==> 5.04700875418e-05
Juola, Patrick ==> 1.60943022019e-05
Miller, John E. ==> 3.96067841539e-05
S&aacute;nchez-Marco, Cristina ==> 1.83480365728e-05
Andry, Francois ==> 9.5242946317e-05
Kornai, Andr&aacute;s ==> 0.000108410280223
Riccardi, Giuseppe ==> 0.000278499961317
Lu, Junzhi ==> 1.60933892333e-05
Decadt, Bart ==> 4.62379826791e-05
Bhatia, Ramanjot Singh ==> 1.48837790104e-05
Mason, Rebecca ==> 1.99179648548e-05
Richardson, Stephen D. ==> 0.000200527607676
Li, Linlin ==> 0.000135785541312
Zarcone, Alessandra ==> 2.28397923805e-05
Pr&eacute;vot, Laurent ==> 6.67384828535e-05
Bilhaut, Frederik ==> 1.67645439712e-05
Noikongka, Daoyos ==> 1.38753500912e-05
Read, Walter ==> 2.5813501397e-05
Hennig, Leonhard ==> 2.46815796834e-05
Klakow, Dietrich ==> 0.00011118087709
Joshi, Ashutosh ==> 1.8549681232e-05
Uchimoto, Kiyotaka ==> 0.000730904088028
Pan, Jeff Z. ==> 2.20795652519e-05
Schulz, Henrik ==> 2.13794942141e-05
Berrocal Rojas, Allan ==> 1.47632773703e-05
Avramidis, Eleftherios ==> 9.99060386275e-05
M. Abo Bakr, Hitham ==> 2.03297186923e-05
Palme, Jacob ==> 2.54815740503e-05
Tang, Min ==> 6.40088404586e-05
Bansal, Mohit ==> 0.00019919142463
Lisacek, Frederique ==> 3.1213907738e-05
Sim&otilde;es, Alberto ==> 1.77490744036e-05
Leass, Herbert J. ==> 0.000245408332132
Stolfo, Salvatore J. ==> 1.70726955872e-05
Krishnamurthy, Rajasekar ==> 0.000102157528556
Huang, Xuangjing ==> 7.47823900388e-05
Goldsmith, Meredith J. ==> 3.3302123005e-05
Srichaivattana, Prapass ==> 2.65424505847e-05
Diekhaus, Christoph ==> 1.74146759605e-05
Leonhard, Annette ==> 2.16844351112e-05
Caruana, Rich ==> 2.78584986366e-05
Tomuro, Noriko ==> 0.000123693026991
Quilici, Alex ==> 5.37310473288e-05
Thomas, Ian ==> 1.38273252573e-05
Ferguson, Mark ==> 0.000234646056921
Bilmes, Jeff A. ==> 0.000170034807532
Nakanishi, Masakazu ==> 7.4603042273e-05
Baumann, Stefan ==> 3.08204036028e-05
Cramer, Irene ==> 5.48658057241e-05
Penchev, Jordan ==> 1.53802716696e-05
Garera, Nikesh ==> 0.000165674894242
Lockman, Abe ==> 1.45681017496e-05
Kikuchi, Norihiro ==> 2.15062352804e-05
Pulman, Stephen G. ==> 0.00044222620364
Haffner, Patrick ==> 5.48119170227e-05
Artemieff, Suzanne ==> 3.51323193238e-05
Olsen, Sussi ==> 2.1540967813e-05
Andreyev, Slava ==> 4.72829710928e-05
Chang, Shih-Fu ==> 2.86140466786e-05
Bryant, Michael ==> 4.79803741915e-05
Antohe, Daniel ==> 9.50243309588e-05
Masui, Fumito ==> 5.65375982734e-05
Condon, Sherri L. ==> 5.90663884483e-05
Boytcheva, Svetla ==> 2.7447802641e-05
Vertan, Cristina ==> 3.19056491336e-05
Combs, Jennifer ==> 1.77702906563e-05
Lim, Nathalie Rose ==> 1.73595517694e-05
Bunescu, Razvan C. ==> 0.000411783468519
Piperidis, Stelios ==> 8.75667519288e-05
Dahlgren, Nancy L. ==> 7.92883429585e-05
El Kahki, Ali ==> 4.90915664039e-05
Arnaiz, Alfredo ==> 3.13179646326e-05
Mohler, Gregor ==> 3.82861514564e-05
Toyoda, Masashi ==> 1.67179527659e-05
Futrelle, Robert P. ==> 3.43793844989e-05
Wakana, Takahiro ==> 3.89053859001e-05
Madkour, Amgad ==> 5.13679535206e-05
Levitan, Rivka ==> 1.9923314967e-05
Nowak, Robert ==> 1.60243792022e-05
Tu, Zhaopeng ==> 3.73127295776e-05
Barry, Chris ==> 9.5966106771e-05
Dalvi, Nilesh ==> 1.64880798905e-05
Knoll, Alois ==> 2.1164165069e-05
Goldstein, Guy ==> 1.72729252144e-05
Kaplan, Ronald M. ==> 0.000751369039386
Faruqui, Manaal ==> 3.26990512956e-05
Chen, Aitao ==> 7.60697068853e-05
Chen, Yaodong ==> 2.05697630204e-05
Chen, Wei-Te ==> 2.60586430474e-05
Guida, Giovanni ==> 7.09125942008e-05
Puente, Salvador de la ==> 2.26808276954e-05
Jovanovic, Natasa ==> 3.81195501701e-05
Garber, Alan ==> 3.41407673227e-05
Sherertz, David D. ==> 9.532163873e-05
Teng, Jei-Wen ==> 3.7155747223e-05
Skala, Matthew ==> 1.47766187017e-05
Jan&iacute;&#x10D;ek, Miroslav ==> 2.72074203601e-05
Bremer, John ==> 4.04386549327e-05
Xia, Yingju ==> 5.3006154272e-05
Noel, J. ==> 4.96361600865e-05
Shastri, Lokendra ==> 4.42705783789e-05
Neal, Jeannette G. ==> 3.22769525669e-05
Zhaoxiong, Chen ==> 5.13218517401e-05
Purpura, Stephen ==> 1.56557089883e-05
Baral, Chitta ==> 4.86863162798e-05
Shi, Zhiwei ==> 2.39378415293e-05
Chen, Mei-hua ==> 5.43235797e-05
Zanzotto, Fabio Massimo ==> 0.000302491185006
Bachenko, Joan ==> 0.000118614579244
Nicholas, Charles ==> 2.39530147905e-05
Elder, John ==> 2.99178805678e-05
Perboni, Sara ==> 1.97167606619e-05
Kang, Seung Shik ==> 0.000102363745667
Zhou, Jiayu ==> 2.15617336741e-05
Arhar, &#x8A;pela ==> 1.61831455737e-05
Allgayer, Jurgen ==> 5.86321115334e-05
Chanod, Jean-Pierre ==> 0.000164017922521
Versley, Yannick ==> 0.000249733634517
Chung, Siaw Fong ==> 1.5097501234e-05
Wilensky, Robert ==> 7.82601690931e-05
Prakash, Lakshmi ==> 2.38761739021e-05
Levesque, Hector J. ==> 5.49611052118e-05
Hutchinson, Ben ==> 9.20100036226e-05
Shaalan, Khaled ==> 2.71375921292e-05
Warren, David H. D. ==> 0.000131030645366
Li, Binyang ==> 5.49952518755e-05
Soni, Ankit ==> 3.48541637777e-05
Tsourakis, Nikos ==> 7.75761754626e-05
Spracklin, Leanne ==> 1.68882543336e-05
Marchetti, Alessandro ==> 4.3371513397e-05
Aman, Saima ==> 2.59630002924e-05
Rapaport, William J. ==> 4.74049925961e-05
Ciesielski, Victor B. ==> 3.62197163485e-05
Turpin, Andrew ==> 4.274603503e-05
Steinacker, Ingeborg ==> 2.50689062386e-05
Martin, Jeff ==> 1.7063501328e-05
Chandrasekar, Raman ==> 5.64264971556e-05
Namata, Galileo ==> 6.74929990833e-05
Pizzato, Luiz Augusto ==> 2.67459399755e-05
Chidambaram, Deepthi ==> 1.92816189907e-05
Mandel, Mark ==> 0.00016810918902
Kobus, Catherine ==> 6.03068923456e-05
Vrusias, Bogdan ==> 1.67645439712e-05
Whitney, Paul ==> 3.61042283319e-05
Robinson, Jane J. ==> 4.73647123917e-05
Roberti, Pierluigi ==> 1.87331030781e-05
Tokuhisa, Ryoko ==> 4.55950046133e-05
Amores, J. Gabriel ==> 2.08572575448e-05
Buntrock, James ==> 3.04759637913e-05
McClain, Jonathan T. ==> 2.27181889325e-05
Doi, Tsunehisa ==> 2.65018158451e-05
Yao, Jianmin ==> 7.06345304004e-05
George, Monte ==> 2.34506506972e-05
Walz, Janet ==> 2.10825919162e-05
Sotillo, Cathy ==> 1.47600043187e-05
Carvalho, Vitor R. ==> 7.06798351206e-05
Miyahara, Sueharu ==> 2.82710154041e-05
Jarvis, Peter ==> 1.83335113351e-05
Haller, Susan M. ==> 6.46560315578e-05
Ichikawa, Hiroshi ==> 0.000107618606915
Muller, Vinicius ==> 1.95836653803e-05
Otegi, Arantxa ==> 3.90628703777e-05
Forlines, Clifton ==> 2.26231260077e-05
Sun, Guangfan ==> 2.93657344448e-05
Pust, Michael ==> 3.09583759635e-05
Banerjee, Satanjeev ==> 0.000265573895598
JingHui, Xiao ==> 1.92679493079e-05
Terashima, Ryuta ==> 2.36145418224e-05
Grois, Eugene ==> 3.16559052124e-05
Gammon, Edward ==> 1.95495032645e-05
Ahmad, Farooq ==> 5.53068938559e-05
Huang, Qiang ==> 1.3663890163e-05
Tsuzuki, Takashi ==> 3.21368037957e-05
Yonezaki, Naoki ==> 1.71376746342e-05
Yagi, Sane ==> 1.97902433042e-05
Purandare, Amruta ==> 0.000109793281702
Angeli, Gabor ==> 3.72833880856e-05
Rubino, Rapha&euml;l ==> 2.91538838875e-05
Gregory, Michelle L. ==> 0.000105123063165
Dale, Robert ==> 0.000644122896268
Nie, Lan ==> 2.57717832294e-05
Banks, Amelie ==> 3.52178693063e-05
Chevelu, Jonathan ==> 5.30720359085e-05
Sassolini, Eva ==> 1.58051488532e-05
Yu, Kai ==> 5.73184724597e-05
Rakhilina, Ekaterina V. ==> 5.51163016851e-05
Maier, Wolfgang ==> 0.000192844341153
Shalyapina, Zoya M. ==> 9.2416167187e-05
Dreyer, Markus ==> 0.000166920759195
Spousta, Miroslav ==> 6.82468404096e-05
Zhu, Xingwei ==> 2.64615083636e-05
Hastie, Trevor ==> 3.34589919141e-05
Griffiths, Thomas L. ==> 0.00029150710401
Oura, Keiichiro ==> 1.56206135736e-05
McDonald, David D. ==> 0.000222114940189
Qin, Zengchang ==> 3.324034737e-05
Lee, Changki ==> 1.40528518223e-05
Landes, Shari ==> 8.21252129703e-05
Jayarajan, Dinakar ==> 2.08582682581e-05
Robin, Jacques ==> 0.000113243356052
Wen, Miaomiao ==> 3.9426674044e-05
Paltoglou, Georgios ==> 3.39860121532e-05
Harrison, Shelly P. ==> 2.39195406466e-05
Oi, Kozo ==> 1.49937925588e-05
Ruland, Tobias ==> 2.0580350335e-05
Chang, Kevin Chen-Chuan ==> 1.52019723022e-05
Baroni, Marco ==> 0.000242119388129
Haghighi, Aria ==> 0.000846061114815
Zhang, Chunliang ==> 3.41560077162e-05
Urbina, Joaquin ==> 2.7057996819e-05
Forner, Pamela ==> 6.19592610841e-05
Perez-Beltrachini, Laura ==> 2.77801187835e-05
Llitj&oacute;s, Ariadna Font ==> 3.47036882321e-05
Fahmi, Ismail ==> 3.62533147583e-05
Chang, Ming-Wei ==> 0.000182525580206
Yee, Lo Yuen ==> 0.000169430756947
Richards, Marc ==> 2.0714407457e-05
Zavaliagkos, George ==> 8.17221157987e-05
